customer_id,customer_name,gender,age,country,city,customer_segment,account_id,account_type,account_open_date,risk_profile,trade_id,trade_date,asset_class,asset_name,trade_type,quantity,trade_price,trade_value,profit_loss,account_balance,platform_fee,leverage_used,margin_call_flag,trades_last_30_days,average_trade_size,portfolio_value,win_rate_percentage,trading_session_duration_minutes,suspicious_activity_flag,failed_login_attempts,unusual_location_login,device_type,ip_region,last_login_date,customer_status,premium_subscription_flag,churn_risk_score,deposit_amount,withdrawal_amount,payment_method,platform_used
CUST52445,Sharon Anderson,Female,60,Nigeria,Lagos,Premium,ACC198702,Basic,2021-04-29,Low,TRD0000001,2022-09-15,Stocks,META,Sell,30.5,869.91,26532.25,-4886.94,276115.77,58.33,3.43,No,73,363.46,847918.59,57.62,187,Yes,18,No,Android,Asia,2022-07-31,Active,No,71.5,112873.66,111421.73,Crypto,Desktop_Terminal
CUST71027,John Webb,Female,42,Ghana,Abuja,Premium,ACC832948,Pro,2021-06-17,Medium,TRD0000002,2023-11-01,Forex,EUR/USD,Buy,256.45,186.72,47884.34,3282.8,393492.56,400.56,,Yes,179,267.51,1297090.57,48.78,97,Yes,15,No,iPhone,West Africa,12-18-2022,Inactive,No,58.22,136247.43,80215.34,Wallet,Web
CUST70515,Gary Carter,Female,26,Kenya,Lagos,Retail,ACC401394,Basic,2022-05-23,High,TRD0000003,2023-06-19,Forex,GBP/USD,Sell,432.13,72.4,31286.21,-5507.39,112834.72,167.84,9.63,No,93,336.41,214784.93,,431,No,11,No,,Asia,19/06/2023,Active,No,86.06,190044.79,117893.96,Crypto,Api
CUST62175,David Lutz,Male,49,Uk,Cape Town,Retail,ACC170619,Vip,2023-06-22,Low,TRD0000004,2023-11-20,Crypto,XRP,Buy,474.53,5718.21,2713462.19,15232.28,53253.53,14632.65,30.51,No,245,11075.36,150819.62,,106,No,10,No,Desktop,Middle East,19/06/2026,Active,No,3.29,190197.11,95086.33,Bank_Transfer,Desktop_Terminal
CUST94268,Andrea Baldwin,Female,35,South Africa,Accra,Premium,ACC472974,Pro,2023-12-27,Low,TRD0000005,2025-06-18,Commodities,Silver,Buy,259.3,154.12,39963.32,-582.63,468195.71,395.33,47.87,Yes,41,974.72,808078.53,26.72,211,No,19,No,iPhone,Middle East,2025-07-16,Inactive,No,9.39,132117.13,163759.88,Card,Api
CUST33399,Joseph White,Female,40,Nigeria,Cape Town,Retail,ACC879461,Vip,2021-11-22,High,TRD0000006,2022-04-30,Crypto,XRP,Sell,328.98,43937.94,14454703.5,5062306.08,214073.77,127861.77,26.8,Yes,14,1032478.82,397686.17,30.45,335,Yes,17,No,Android,West Africa,21/02/2022,Inactive,No,66.59,163009.41,93016.95,Card,Mobile_App
CUST78617,Bradley Bridges,Female,68,Nigeria,Lagos,Premium,ACC257079,Basic,2023-08-28,High,TRD0000007,2025-05-07,Commodities,Gold,Buy,125,289.63,36203.75,3960.54,250304.33,203.08,22.72,No,141,256.76,675784.73,50.63,255,No,16,Yes,,Europe,02-26-2025,Dormant,Yes,42.25,78472.88,56876.36,Crypto,Web
CUST37877,Christopher Ford,Male,68,Nigeria,Accra,Retail,ACC243921,Vip,2022-03-26,Low,TRD0000008,2024-04-13,Crypto,BNB,Sell,170.22,25550.19,4349153.34,-440902.31,310083.17,24400.32,1.89,Yes,57,76300.94,1530989.02,92.59,109,Yes,8,Yes,iPhone,Europe,01-28-2024,Inactive,Yes,82.16,169917.57,121675.25,Crypto,Mobile_App
CUST80333,Lorraine Wilson,Female,50,Uk,Accra,Retail,ACC160320,Pro,2022-11-01,Low,TRD0000009,2023-03-07,Crypto,BTC,Sell,431.52,27198.23,11736580.21,-2008984.15,50272.99,28790.32,26.82,Yes,92,127571.52,82821.06,35.93,212,Yes,14,No,Android,Asia,15/12/2022,Inactive,Yes,99.46,7389.87,3318.1,Card,Api
CUST42201,Sandra Carpenter,Male,61,Uae,Cape Town,Retail,ACC672424,Pro,2023-03-17,Low,TRD0000010,2024-08-01,Crypto,BNB,Sell,490.96,1238.98,608289.62,90586.95,187345.3,3378.13,,Yes,124,4905.56,694916.02,,191,Yes,8,No,iPhone,Asia,10/07/2024,Inactive,Yes,97.29,109414.67,44000.37,Wallet,Mobile_App
