customer_id,customer_name,gender,age,country,city,customer_segment,account_id,account_type,account_open_date,risk_profile,trade_id,trade_date,asset_class,asset_name,trade_type,quantity,trade_price,trade_value,profit_loss,account_balance,platform_fee,leverage_used,margin_call_flag,trades_last_30_days,average_trade_size,portfolio_value,win_rate_percentage,trading_session_duration_minutes,suspicious_activity_flag,failed_login_attempts,unusual_location_login,device_type,ip_region,last_login_date,customer_status,premium_subscription_flag,churn_risk_score,deposit_amount,withdrawal_amount,payment_method,platform_used
CUST52445,Sharon Anderson,Female,60,Nigeria,lagos,premium,ACC198702,basic,2021-04-29,low,TRD0000001,2022-09-15,stocks,META,sell,30.5,869.91,26532.25,-4886.94,276115.77,58.33,3.43,No,73,363.46,847918.59,57.62,187,Yes,18,no,Android,Asia,2022-07-31,Active,no,71.5,112873.66,111421.73,crypto,desktop_terminal
CUST71027,John Webb,Female,42,Ghana,Abuja,premium,ACC832948,pro,06-17-2021,medium,TRD0000002,11/01/2023,forex,EUR/USD,buy,256.45,186.72,47884.34,3282.8,393492.56,400.56,,Y,179,267.51,1297090.57,48.78,97,Y,15,N,iPhone,West Africa,12-18-2022,inactive,N,58.22,136247.43,80215.34,wallet,web
CUST70515,Gary Carter,female,26,Kenya,Lagos,retail,ACC401394,basic,23/05/2022,high,TRD0000003,2023-06-19,forex,GBP/USD,sell,432.13,72.4,31286.21,-5507.39,112834.72,167.84,9.63,no,93,336.41,214784.93,,431,no,11,no,,Asia,19/06/2023,active,N,86.06,190044.79,117893.96,crypto,API
CUST62175,David Lutz,Male,49,UK,Cape Town,retail,ACC170619,VIP,22/06/2023,low,TRD0000004,11-20-2023,crypto,XRP,buy,474.53,5718.21,2713462.19,15232.28,53253.53,14632.65,30.51,No,245,11075.36,150819.62,,106,N,10,N,Desktop,Middle East,,active,no,3.29,190197.11,95086.33,bank_transfer,desktop_terminal
CUST94268,Andrea Baldwin,F,35,South Africa,Accra,premium,ACC472974,pro,27/12/2023,low,TRD0000005,06-18-2025,commodities,Silver,buy,259.3,154.12,39963.32,-582.63,468195.71,395.33,47.87,Y,41,974.72,808078.53,26.72,211,No,19,no,iPhone,Middle East,2025-07-16,inactive,N,9.39,132117.13,163759.88,card,API
CUST33399,Joseph White,F,40,Nigeria,Cape Town,retail,ACC879461,VIP,2021-11-22,high,TRD0000006,2022-04-30,crypto,XRP,sell,328.98,43937.94,14454703.5,5062306.08,214073.77,127861.77,26.8,yes,14,1032478.82,397686.17,30.45,335,Y,17,No,Android,West Africa,21/02/2022,inactive,No,66.59,163009.41,93016.95,card,mobile_app
CUST78617,Bradley Bridges,Female,68,nigeria,Lagos,premium,ACC257079,basic,08-28-2023,high,TRD0000007,2025-05-07,commodities,Gold,buy,125.0,289.63,36203.75,3960.54,250304.33,203.08,22.72,N,141,256.76,675784.73,50.63,255,N,16,Y,,Europe,02-26-2025,Dormant,yes,42.25,78472.88,56876.36,crypto,web
CUST37877,Christopher Ford,Male,68,nigeria,Accra,retail,ACC243921,VIP,26/03/2022,low,TRD0000008,13/04/2024,crypto,BNB,sell,170.22,25550.19,4349153.34,-440902.31,310083.17,24400.32,1.89,Yes,57,76300.94,1530989.02,92.59,109,Yes,8,Y,iPhone,Europe,01-28-2024,inactive,yes,82.16,169917.57,121675.25,crypto,mobile_app
CUST80333,Lorraine Wilson,female,50,UK,Accra,retail,ACC160320,pro,11/01/2022,low,TRD0000009,2023-03-07,crypto,BTC,sell,431.52,27198.23,11736580.21,-2008984.15,50272.99,28790.32,26.82,Yes,92,127571.52,82821.06,35.93,212,Y,14,no,Android,Asia,15/12/2022,inactive,Yes,99.46,7389.87,3318.1,card,API
CUST42201,Sandra Carpenter,Male,61,UAE,Cape Town,retail,ACC672424,pro,03-17-2023,low,TRD0000010,2024-08-01,crypto,BNB,sell,490.96,1238.98,608289.62,90586.95,187345.3,3378.13,,Y,124,4905.56,694916.02,,191,yes,8,No,iPhone,Asia,10/07/2024,inactive,Y,97.29,109414.67,44000.37,wallet,mobile_app
CUST56738,Jordan Ewing,M,43,Nigeria,London,retail,ACC787884,basic,2023-10-31,medium,TRD0000011,18/12/2025,stocks,AMZN,buy,150.52,963.02,144953.77,14121.32,380977.23,1085.14,39.42,No,76,1907.29,759493.97,22.3,527,N,13,N,,Europe,2025-09-10,dormant,no,57.28,162581.08,2894.36,card,web
CUST14084,,F,42,Nigeria,Cape Town,premium,ACC685658,basic,02-08-2021,medium,TRD0000012,2022-10-27,stocks,META,buy,329.99,145.77,48102.64,9854.86,487746.22,261.94,11.06,No,39,1233.4,1371465.64,75.19,205,Yes,19,yes,Desktop,Asia,2022-12-02,inactive,no,57.21,2493.84,10918.98,bank_transfer,mobile_app
CUST98566,Erica Quinn DVM,F,52,Ghana,London,retail,ACC904435,basic,2024-01-30,medium,TRD0000013,06/08/2024,stocks,META,sell,496.99,610.93,303626.1,-24391.75,299699.7,2029.74,13.83,Y,57,5326.77,1125077.34,86.3,499,No,0,yes,iPhone,Middle East,,Dormant,No,30.89,28141.44,61912.83,wallet,web
CUST52539,Donna Hernandez,Female,26,nigeria,Lagos,premium,ACC403911,basic,05-14-2021,medium,TRD0000014,2022-06-05,stocks,NVDA,buy,26.76,1009.87,27024.12,6454.9,211012.56,34.08,38.89,N,204,132.47,978334.48,56.68,84,Yes,23,No,Tablet,North America,04/06/2022,active,N,87.08,97115.02,164142.94,card,API
CUST64377,Charles Johnson,M,35,UK,Nairobi,retail,ACC350258,basic,2024-02-16,low,TRD0000015,2025-12-16,commodities,Silver,sell,453.22,112.36,50923.8,-8690.4,125470.57,311.99,5.46,Yes,211,241.35,302122.98,27.85,278,Y,24,Yes,Tablet,Asia,2025-12-16,dormant,Y,13.46,100679.15,113332.84,card,web
